,0
0,7.867280748682431
1,7.902779248630028
2,8.53630519218147
3,8.713148512935074
4,8.84999167383808
5,9.022959149087196
6,9.12707573779207
7,9.146240877057796
8,9.160946263002453
9,9.175297779697312
10,9.224262146860141
11,9.224262146860141
12,9.228431439109135
13,9.240989443662894
14,9.240989443662894
15,9.240989443662894
16,9.240989443662894
17,9.241919266095309
18,9.24252491778856
19,9.24252491778856
20,9.24252491778856
21,9.257094631596892
22,9.279228000680082
23,9.279228000680082
24,9.279228000680082
25,9.294590271584651
26,9.311674843629358
27,9.311674843629358
28,9.311674843629358
29,9.311674843629358
30,9.329408713105384
31,9.349614523976442
32,9.349614523976442
33,9.349614523976442
34,9.357095407371677
35,9.357095407371677
36,9.357095407371677
37,9.357095407371677
38,9.36734113532226
39,9.36734113532226
40,9.36734113532226
41,9.36734113532226
42,9.36734113532226
43,9.37104352256992
44,9.371245662781568
45,9.371245662781568
46,9.377256790067696
47,9.377256790067696
48,9.377256790067696
49,9.388593838598446
50,9.388593838598446
51,9.388593838598446
52,9.398281518955013
53,9.433991939081643
54,9.435002595867854
55,9.435002595867854
56,9.436879705036585
57,9.436879705036585
58,9.436879705036585
59,9.438271087428856
60,9.450743598372682
61,9.452931183573703
62,9.452931183573703
63,9.453169089262325
64,9.460512910581443
65,9.460512910581443
66,9.461232620402779
67,9.463308050453335
68,9.463308050453335
69,9.463308050453335
70,9.469156062920309
71,9.469156062920309
72,9.469156062920309
73,9.47484956444969
74,9.47484956444969
75,9.47484956444969
76,9.475479456173092
77,9.477311560614352
78,9.477311560614352
79,9.480902075296626
80,9.480902075296626
81,9.480902075296626
82,9.482123535784755
83,9.483919571493082
84,9.483919571493082
85,9.484172062171808
86,9.484172062171808
87,9.496877320965037
88,9.496877320965037
89,9.496877320965037
90,9.498114803881531
91,9.498114803881531
92,9.49811907554913
93,9.49811907554913
94,9.49811907554913
95,9.498125405477538
96,9.501105789839729
97,9.506650169448154
98,9.506650169448154
99,9.506650169448154
100,9.506650169448154
101,9.506650169448154
102,9.509344525031327
103,9.516090472953916
104,9.516090472953916
105,9.516090472953916
106,9.51718112024058
107,9.519572924381016
108,9.525469126391723
109,9.526441780929396
110,9.526441780929396
111,9.528507419234526
112,9.528507419234526
113,9.529352069511138
114,9.529352069511138
115,9.53204191222708
116,9.532722839872612
117,9.532722839872612
118,9.534216051346464
119,9.534216051346464
120,9.534216051346464
121,9.534216051346464
122,9.535983937468817
123,9.536353811467487
124,9.536353811467487
125,9.54066771816207
126,9.54066771816207
127,9.544143485119609
128,9.544143485119609
129,9.544143485119609
