,0
0,7.879427821032034
1,7.928497640426119
2,7.965146519459529
3,8.361034518218387
4,8.377998840792662
5,8.545162797528002
6,9.011039577064
7,9.105616034012789
8,9.200156207531288
9,9.209957455837435
10,9.209957455837435
11,9.22607972315703
12,9.237741531936983
13,9.237741531936983
14,9.249491123854469
15,9.249491123854469
16,9.26926340322088
17,9.27584942656824
18,9.285271000870598
19,9.333089988395493
20,9.33756944586198
21,9.33756944586198
22,9.33756944586198
23,9.348322851848366
24,9.348322851848366
25,9.355498863558708
26,9.355836783158331
27,9.355836783158331
28,9.355836783158331
29,9.355836783158331
30,9.37906447610918
31,9.37906447610918
32,9.40160642044822
33,9.401664735885404
34,9.40243865957272
35,9.426316567559503
36,9.427878413422741
37,9.427878413422741
38,9.437039198888282
39,9.438027215678588
40,9.438027215678588
41,9.438027215678588
42,9.449163822779479
43,9.4573197337344
44,9.469227649564663
45,9.469227649564663
46,9.469227649564663
47,9.469227649564663
48,9.469227649564663
49,9.474433002687078
50,9.482264407227646
51,9.484101142975444
52,9.484101142975444
53,9.4843282771949
54,9.4843282771949
55,9.486898432558554
56,9.486898432558554
57,9.489832655147662
58,9.497264458036986
59,9.497264458036986
60,9.498358147236459
61,9.505819364664891
62,9.512399801904433
63,9.516501425663499
64,9.518992386535372
65,9.518992386535372
66,9.518992386535372
67,9.51909078137507
68,9.51909078137507
69,9.51909078137507
70,9.521735679330934
71,9.528833796405971
72,9.530461773745653
73,9.530461773745653
74,9.530461773745653
75,9.530461773745653
76,9.531667774945957
77,9.531912432233302
78,9.531912432233302
79,9.531912432233302
80,9.531912432233302
81,9.535342565101814
82,9.535583718543597
83,9.535583718543597
84,9.535583718543597
85,9.538311888079349
86,9.538311888079349
87,9.542578388406788
88,9.54305592054738
89,9.54305592054738
90,9.54594262355993
91,9.54594262355993
92,9.548836864433186
93,9.553670562759315
94,9.553670562759315
95,9.554809287146464
96,9.554809287146464
97,9.554809287146464
98,9.554877550661928
99,9.555040828584136
100,9.558727665643275
101,9.559502300256087
102,9.559502300256087
103,9.559502300256087
104,9.559502300256087
105,9.559502300256087
106,9.559502300256087
107,9.559502300256087
108,9.560034268807843
109,9.560034268807843
110,9.563550769059091
111,9.563550769059091
112,9.563550769059091
113,9.56528993782929
114,9.56528993782929
115,9.565389393777057
116,9.56951462831006
117,9.57044335129103
118,9.57044335129103
119,9.571235002902167
120,9.571235002902167
121,9.571235002902167
122,9.571235002902167
123,9.571235002902167
124,9.571420208388332
125,9.574396547413151
126,9.574396547413151
127,9.575077698621428
128,9.575077698621428
129,9.575077698621428
